driver_id,signup_date,state,age,gender,risk_segment,phone_number,license_number,is_us_based
D044,2024-01-05,TX,34,M,medium,+1-980-906-4033,G0JV1V93,1
D045,2023-06-01,NY,36,M,low,+1-925-746-3073,J9TZE5R5,1
D046,2023-10-21,NV,40,M,low,+1-388-252-5136,7R3OCWBF,1
D047,2023-10-16,FL,41,F,low,+1-982-626-4697,1N6KVPUC,1
D048,2024-01-14,FL,28,F,low,+1-283-360-4929,GCAQVKIZ,1
D049,2023-12-26,FL,51,F,high,+1-840-803-4241,PTX63CFL,1
D050,2024-01-19,NV,58,M,low,+1-905-511-7594,7SRCBPLJ,1
D051,2023-02-16,WA,36,F,medium,+1-981-974-3870,QX6GVWRD,1
D052,2023-06-28,IL,48,M,medium,+1-364-537-7744,YK83TQLL,1
D053,2024-01-31,NV,47,F,low,+1-392-730-6927,WRPBJEK5,1
D054,2023-09-06,FL,29,F,medium,+1-518-764-1224,TD96QE3R,1
D055,2024-01-02,AZ,40,M,medium,+1-683-449-8483,TN7S55J2,1
D056,2023-08-01,CA,43,M,low,+1-505-801-9022,5QRL1N75,1
D057,2023-12-24,FL,37,M,high,+1-620-244-6213,0Z3NX39R,1
D058,2023-01-19,TX,30,M,high,+1-650-302-9617,6AF58C2J,1
D059,2023-11-16,TX,66,M,high,+1-890-746-7226,8W5RTWIY,1
D060,2023-05-28,AZ,36,F,high,+1-978-848-2646,PY6B2KNF,1
D061,2023-09-29,NY,48,F,low,+1-824-591-4945,RUIWQY6Q,1
D062,2023-05-28,TX,65,F,low,+1-553-801-5901,XPJ4HNRI,1
D063,2023-10-20,WA,44,M,low,+1-874-605-5497,A5296036,1
D064,2024-02-02,FL,36,M,medium,+1-835-456-3240,W6XLPU0D,1
D065,2023-06-01,NY,42,M,low,+1-752-574-9697,SJF678K5,1
D066,2023-02-28,NY,51,F,medium,+1-431-892-7511,82N2ATQY,1
D067,2023-12-11,IL,38,M,low,+1-439-682-1410,W7LVXWQZ,1
D068,2023-11-29,NY,48,F,low,+1-238-511-9071,EITNN8ZT,1
D069,2023-10-28,AZ,69,F,medium,+1-701-830-7686,7KYHQIN9,1
D070,2023-07-08,CA,56,M,low,+1-394-325-8450,DHX8BM92,1
D071,2023-04-16,FL,26,F,medium,+1-438-536-3417,2VJ99T2D,1
D072,2023-01-14,IL,30,F,medium,+1-443-802-6304,AJEPECQN,1
D073,2023-10-31,FL,28,M,high,+1-244-944-9543,KXB94PDZ,1
D074,2023-08-16,IL,26,F,medium,+1-267-329-5505,WVZNVKSP,1
D075,2023-12-26,AZ,29,F,low,+1-433-623-6553,3O0LLJ8Y,1
D076,2023-08-31,TX,26,F,low,+1-298-962-7105,3UVULEMX,1
D077,2024-01-20,WA,49,F,medium,+1-560-306-9313,HXID4N1U,1
D078,2023-08-08,WA,57,F,low,+1-479-919-6062,7MGFXC08,1
D079,2023-02-16,AZ,69,F,low,+1-549-361-7062,LL7V5F1B,1
D080,2023-02-11,AZ,39,M,low,+1-652-624-5475,HSMDYVSL,1
